년도,날짜,시간,구장,팀1,팀2,조,경기,결과,경고
1986,06.05,12:00,콰우테모크 경기장 (푸에블라),이탈리아,아르헨티나,A조,A12,1:1,
1986,06.05,12:00,누 캄프 경기장 (레온),프랑스,소련,C조,C12,1:1,
1986,06.05,16:00,에스타디오 올림피코 우니베르시타리오 (멕시코시티),불가리아,대한민국,A조,A43,1:1,
1986,06.06,12:00,이라푸아토 경기장 (이라푸아토),캐나다,헝가리,C조,C34,0:2,
1986,06.06,12:00,할리스코 경기장 (과달라하라),브라질,알제리,D조,D13,1:0,
1986,06.06,16:00,테크놀로히코 경기장 (몬테레이),모로코,잉글랜드,F조,F32,0:0,
1986,06.07,12:00,에스타디오 아스테카 (멕시코시티),멕시코,파라과이,B조,B12,1:1,
1986,06.07,12:00,트레스 데 마르소 경기장 (사포판),스페인,북아일랜드,D조,D24,2:1,
1986,06.07,16:00,우니베르시타리오 경기장 (산니콜라스데로스가르사),폴란드,포르투갈,F조,F14,1:0,
1986,06.08,12:00,네메시오 디에스 경기장 (톨루카),벨기에,이라크,B조,B43,2:1,
1986,06.08,12:00,라 코레히도라 경기장 (케레타로),서독,스코틀랜드,E조,E14,2:1,
1986,06.08,16:00,네사 86 경기장 (네사우알코요틀),우루과이,덴마크,E조,E23,1:6,
1986,06.09,12:00,누 캄프 경기장 (레온),프랑스,헝가리,C조,C14,3:0,
1986,06.09,12:00,이라푸아토 경기장 (이라푸아토),캐나다,소련,C조,C32,0:2,
1986,06.10,12:00,콰우테모크 경기장 (푸에블라),이탈리아,대한민국,A조,A13,3:2,
1986,06.10,12:00,에스타디오 올림피코 우니베르시타리오 (멕시코시티),아르헨티나,불가리아,A조,A24,2:0,
1986,06.11,12:00,네메시오 디에스 경기장 (톨루카),벨기에,파라과이,B조,B42,2:2,
1986,06.11,12:00,에스타디오 아스테카 (멕시코시티),멕시코,이라크,B조,B13,1:0,
1986,06.11,16:00,우니베르시타리오 경기장 (산니콜라스데로스가르사),폴란드,잉글랜드,F조,F12,0:3,
1986,06.11,16:00,트레스 데 마르소 경기장 (사포판),모로코,포르투갈,F조,F34,3:1,
1986,06.12,12:00,할리스코 경기장 (과달라하라),브라질,북아일랜드,D조,D14,3:0,
1986,06.12,12:00,테크놀로히코 경기장 (몬테레이),스페인,알제리,D조,D23,3:0,
1986,06.13,12:00,라 코레히도라 경기장 (케레타로),서독,덴마크,E조,E13,0:2,
1986,06.13,12:00,네사 86 경기장 (네사우알코요틀),우루과이,스코틀랜드,E조,E24,0:0,
1986,06.15,12:00,에스타디오 아스테카 (멕시코시티),멕시코,불가리아,w49,B1A3,2:0,
1986,06.15,16:00,누 캄프 경기장 (레온),소련,벨기에,w50,C1B3,2:2_1:2,
1986,06.16,12:00,할리스코 경기장 (과달라하라),브라질,폴란드,w51,D1F3,4:0,
1986,06.16,16:00,콰우테모크 경기장 (푸에블라),아르헨티나,우루과이,w52,A1E3,1:0,
1986,06.17,12:00,에스타디오 올림피코 우니베르시타리오 (멕시코시티),이탈리아,프랑스,w53,A2C2,0:2,
1986,06.17,16:00,우니베르시타리오 경기장 (산니콜라스데로스가르사),모로코,서독,w54,F1E2,0:1,
1986,06.18,12:00,에스타디오 아스테카 (멕시코시티),잉글랜드,파라과이,w55,F2B2,3:0,
1986,06.18,16:00,라 코레히도라 경기장 (케레타로),덴마크,스페인,w56,E1D2,1:5,
1986,06.21,12:00,할리스코 경기장 (과달라하라),프랑스,브라질,w57,w53w51,1:1_0:0_4:3,
1986,06.21,16:00,우니베르시타리오 경기장 (산니콜라스데로스가르사),멕시코,서독,w58,w49w54,0:0_0:0_1:4,
1986,06.22,12:00,에스타디오 아스테카 (멕시코시티),아르헨티나,잉글랜드,w59,w52w55,2:1,
1986,06.22,16:00,콰우테모크 경기장 (푸에블라),스페인,벨기에,w60,w56w50,1:1_0:0_4:5,
1986,06.25,16:00,에스타디오 아스테카 (멕시코시티),아르헨티나,벨기에,w61,w59w60,2:0,
1986,06.25,12:00,할리스코 경기장 (과달라하라),프랑스,서독,w62,w57w58,0:2,
1986,06.28,12:00,콰우테모크 경기장 (푸에블라),벨기에,프랑스,w63,L61L62,2:4,
1986,06.29,12:00,에스타디오 아스테카 (멕시코시티),아르헨티나,서독,w64,w61w62,3:2,
1990,06.08,18:00,주세페 메아차 경기장 (밀라노),아르헨티나,카메룬,B조,B12,0:1,
1990,06.09,17:00,산 니콜라 경기장 (바리),소련,루마니아,B조,B43,0:2,
1990,06.09,17:00,레나토 달라라 경기장 (볼로냐),아랍에미맅,콜롬비아,D조,D23,0:2,
1990,06.09,21:00,올림피코 경기장 (로마),이탈리아,오스트리아,A조,A14,1:0,
1990,06.10,17:00,아르테미오 프란키 경기장 (피렌체),미국,체코,A조,A23,1:5,
1990,06.10,21:00,델레 알피 경기장 (토리노),브라질,스웨덴,C조,C13,2:1,
1990,06.10,21:00,주세페 메아차 경기장 (밀라노),서독,유고,D조,D14,4:1,
1990,06.11,17:00,루이지 페라리스 경기장 (제노바),코스타리카,스코틀랜드,C조,C24,1:0,
1990,06.11,21:00,산텔리아 경기장 (칼리아리),잉글랜드,아일랜드,F조,F13,1:1,
1990,06.12,17:00,마르크안토니오 벤테고디 (베로나),벨기에,대한민국,E조,E12,2:0,
1990,06.12,21:00,라 파보리타 경기장 (팔레르모),네덜란드,이집트,F조,F42,1:1,
1990,06.13,17:00,프리울리 경기장 (우디네),우루과이,스페인,E조,E34,0:0,
1990,06.13,21:00,산 파올로 경기장 (나폴리),아르헨티나,소련,B조,B14,2:0,
1990,06.14,17:00,산 니콜라 경기장 (바리),카메룬,루마니아,B조,B23,2:1,
1990,06.14,17:00,레나토 달라라 경기장 (볼로냐),유고,콜롬비아,D조,D43,1:0,
1990,06.14,21:00,올림피코 경기장 (로마),이탈리아,미국,A조,A12,1:0,
1990,06.15,17:00,아르테미오 프란키 경기장 (피렌체),오스트리아,체코,A조,A43,0:1,
1990,06.15,21:00,주세페 메아차 경기장 (밀라노),서독,아랍에미맅,D조,D12,5:1,
1990,06.16,17:00,델레 알피 경기장 (토리노),브라질,코스타리카,C조,C12,1:0,
1990,06.16,21:00,루이지 페라리스 경기장 (제노바),스코틀랜드,스웨덴,C조,C43,2:1,
1990,06.16,21:00,산텔리아 경기장 (칼리아리),잉글랜드,네덜란드,F조,F14,0:0,
1990,06.17,17:00,라 파보리타 경기장 (팔레르모),아일랜드,이집트,F조,F32,0:0,
1990,06.17,21:00,마르크안토니오 벤테고디 (베로나),벨기에,우루과이,E조,E13,3:1,
1990,06.17,21:00,프리울리 경기장 (우디네),대한민국,스페인,E조,E24,1:3,
1990,06.18,21:00,산 파올로 경기장 (나폴리),아르헨티나,루마니아,B조,B13,1:1,
1990,06.18,21:00,산 니콜라 경기장 (바리),카메룬,소련,B조,B24,0:4,
1990,06.19,17:00,주세페 메아차 경기장 (밀라노),서독,콜롬비아,D조,D13,1:1,
1990,06.19,17:00,레나토 달라라 경기장 (볼로냐),유고,아랍에미맅,D조,D42,4:1,
1990,06.19,21:00,아르테미오 프란키 경기장 (피렌체),오스트리아,미국,A조,A42,2:1,
1990,06.20,21:00,올림피코 경기장 (로마),이탈리아,체코,A조,A13,2:0,
1990,06.20,21:00,델레 알피 경기장 (토리노),브라질,스코틀랜드,C조,C14,1:0,
1990,06.20,21:00,루이지 페라리스 경기장 (제노바),스웨덴,코스타리카,C조,C32,1:2,
1990,06.21,17:00,마르크안토니오 벤테고디 (베로나),벨기에,스페인,E조,E14,1:2,
1990,06.21,17:00,프리울리 경기장 (우디네),대한민국,우루과이,E조,E23,0:1,
1990,06.21,21:00,산텔리아 경기장 (칼리아리),잉글랜드,이집트,F조,F12,1:0,
1990,06.21,21:00,라 파보리타 경기장 (팔레르모),네덜란드,아일랜드,F조,F43,1:1,
1990,06.23,17:00,산 파올로 경기장 (나폴리),카메룬,콜롬비아,w49,B1D3,0:0_2:1,
1990,06.23,21:00,산 니콜라 경기장 (바리),체코,코스타리카,w50,A2C2,4:1,
1990,06.24,17:00,델레 알피 경기장 (토리노),브라질,아르헨티나,w51,C1B3,0:1,
1990,06.24,21:00,주세페 메아차 경기장 (밀라노),서독,네덜란드,w52,D1F3,2:1,
1990,06.25,17:00,루이지 페라리스 경기장 (제노바),루마니아,아일랜드,w53,B2F2,0:0_0:0_4:5,
