year,grp,name,code,team
2009,E04,호주,AUS,호주
2009,F01,헝가리,HUN,헝가리
2009,F02,아랍에미맅,UAE,아랍에미맅
2009,F03,남아공화국,RSA,남아공화국
2009,F04,온두라스,HON,온두라스
2011,A01,콜롬비아,COL,콜롬비아
2011,A02,프랑스,FRA,프랑스
2011,A03,대한민국,KOR,대한민국
2011,A04,말리,MLI,말리
2011,B01,포르투갈,POR,포르투갈
2011,B02,카메룬,CMR,카메룬
2011,B03,뉴질랜드,NZL,뉴질랜드
2011,B04,우루과이,URU,우루과이
2011,C01,스페인,ESP,스페인
2011,C02,에콰도르,ECU,에콰도르
2011,C03,코스타리카,CRC,코스타리카
2011,C04,호주,AUS,호주
2011,D01,나이지리아,NGA,나이지리아
2011,D02,사우디,KSA,사우디
2011,D03,과테말라,GUA,과테말라
2011,D04,크로아티아,CRO,크로아티아
2011,E01,브라질,BRA,브라질
2011,E02,이집트,EGY,이집트
2011,E03,파나마,PAN,파나마
2011,E04,오스트리아,AUT,오스트리아
2011,F01,아르헨티나,ARG,아르헨티나
2011,F02,멕시코,MEX,멕시코
2011,F03,잉글랜드,ENG,잉글랜드
2011,F04,북한,PRK,북한
2013,A01,스페인,ESP,스페인
2013,A02,프랑스,FRA,프랑스
2013,A03,가나,GHA,가나
2013,A04,미국,USA,미국
2013,B01,포르투갈,POR,포르투갈
2013,B02,나이지리아,NGA,나이지리아
2013,B03,대한민국,KOR,대한민국
2013,B04,쿠바,CUB,쿠바
2013,C01,콜롬비아,COL,콜롬비아
2013,C02,튀르키예,TUR,튀르키예
2013,C03,엘살바도르,SLV,엘살바도르
2013,C04,호주,AUS,호주
2013,D01,그리스,GRE,그리스
2013,D02,파라과이,PAR,파라과이
2013,D03,멕시코,MEX,멕시코
2013,D04,말리,MLI,말리
2013,E01,이라크,IRQ,이라크
2013,E02,칠레,CHI,칠레
2013,E03,이집트,EGY,이집트
2013,E04,잉글랜드,ENG,잉글랜드
2013,F01,크로아티아,CRO,크로아티아
2013,F02,우루과이,URU,우루과이
2013,F03,우즈벸스탄,UZB,우즈벸스탄
2013,F04,뉴질랜드,NZL,뉴질랜드
2015,A01,우크라이나,UKR,우크라이나
2015,A02,미국,USA,미국
2015,A03,뉴질랜드,NZL,뉴질랜드
2015,A04,미얀마,MYA,미얀마
2015,B01,가나,GHA,가나
2015,B02,오스트리아,AUT,오스트리아
2015,B03,아르헨티나,ARG,아르헨티나
2015,B04,파나마,PAN,파나마
2015,C01,포르투갈,POR,포르투갈
2015,C02,콜롬비아,COL,콜롬비아
2015,C03,세네갈,SEN,세네갈
2015,C04,카타르,QAT,카타르
2015,D01,세르비아,SRB,세르비아
2015,D02,우루과이,URU,우루과이
2015,D03,말리,MLI,말리
2015,D04,멕시코,MEX,멕시코
2015,E01,브라질,BRA,브라질
2015,E02,나이지리아,NGA,나이지리아
2015,E03,헝가리,HUN,헝가리
2015,E04,북한,PRK,북한
2015,F01,독일,GER,독일
2015,F02,우즈벸스탄,UZB,우즈벸스탄
2015,F03,온두라스,HON,온두라스
2015,F04,피지,FIJ,피지
2017,A01,대한민국,KOR,대한민국
2017,A02,기니,GUI,기니
2017,A03,아르헨티나,ARG,아르헨티나
2017,A04,잉글랜드,ENG,잉글랜드
2017,B01,베네수엘라,VEN,베네수엘라
2017,B02,독일,GER,독일
2017,B03,바누아투,VAN,바누아투
2017,B04,멕시코,MEX,멕시코
2017,C01,잠비아,ZAM,잠비아
2017,C02,포르투갈,POR,포르투갈
2017,C03,이란,IRN,이란
2017,C04,코스타리카,CRC,코스타리카
2017,D01,남아공화국,RSA,남아공화국
2017,D02,일본,JPN,일본
2017,D03,이탈리아,ITA,이탈리아
2017,D04,우루과이,URU,우루과이
2017,E01,프랑스,FRA,프랑스
2017,E02,온두라스,HON,온두라스
2017,E03,베트남,VIE,베트남
2017,E04,뉴질랜드,NZL,뉴질랜드
2017,F01,에콰도르,ECU,에콰도르
2017,F02,미국,USA,미국
2017,F03,사우디,KSA,사우디
2017,F04,세네갈,SEN,세네갈
2019,A01,세네갈,SEN,세네갈
2019,A02,콜롬비아,COL,콜롬비아
2019,A03,폴란드,POL,폴란드
2019,A04,타히티,TAH,타히티
2019,B01,이탈리아,ITA,이탈리아
2019,B02,일본,JPN,일본
2019,B03,에콰도르,ECU,에콰도르
2019,B04,멕시코,MEX,멕시코
2019,C01,우루과이,URU,우루과이
2019,C02,뉴질랜드,NZL,뉴질랜드
2019,C03,노르웨이,NOR,노르웨이
2019,C04,온두라스,HON,온두라스
2019,D01,우크라이나,UKR,우크라이나
2019,D02,미국,USA,미국
2019,D03,나이지리아,NGA,나이지리아
2019,D04,카타르,QAT,카타르
2019,E01,프랑스,FRA,프랑스
2019,E02,말리,MLI,말리
2019,E03,파나마,PAN,파나마
2019,E04,사우디,KSA,사우디
2019,F01,아르헨티나,ARG,아르헨티나
2019,F02,대한민국,KOR,대한민국
2019,F03,포르투갈,POR,포르투갈
2019,F04,남아공화국,RSA,남아공화국
2023,A01,아르헨티나,ARG,아르헨티나
2023,A02,뉴질랜드,NZL,뉴질랜드
2023,A03,우즈벸스탄,UZB,우즈벸스탄
2023,A04,과테말라,GUA,과테말라
2023,B01,미국,USA,미국
2023,B02,에콰도르,ECU,에콰도르
2023,B03,피지,FIJ,피지
2023,B04,슬로바키아,SVK,슬로바키아
2023,C01,세네갈,SEN,세네갈
2023,C02,콜롬비아,COL,콜롬비아
2023,C03,일본,JPN,일본
2023,C04,이스라엘,ISR,이스라엘
2023,D01,이탈리아,ITA,이탈리아
2023,D02,브라질,BRA,브라질
2023,D03,나이지리아,NGA,나이지리아
2023,D04,도미니카,DOM,도미니카
2023,E01,우루과이,URU,우루과이
2023,E02,잉글랜드,ENG,잉글랜드
2023,E03,이라크,IRQ,이라크
2023,E04,튀니지,TUN,튀니지
2023,F01,프랑스,FRA,프랑스
2023,F02,대한민국,KOR,대한민국
2023,F03,온두라스,HON,온두라스
2023,F04,감비아,GAM,감비아
